rm -Rf scoring
rm -Rf package
rm -Rf package
mkdir package
mkdir package/predictions
mkdir package/datasets
rsync -ar --exclude='**/test_y.npy' datasets/* package/datasets/
cp -R evaluation/main.py package/main.py
cp -R daniel-1/* package
cd package; python3 main.py
==============================================================================
=============    Your NAS Unseen-Data 2026 Submission is running     =============
==============================================================================
========== Dataset   Ganges   =============================================
  Metadata:
   - num_classes         : 6
   - input_shape         : [4500, 1, 27, 18]
   - codename            : Ganges
   - benchmark           : 27.5
   - time_limit          : 0.1
   - time_remaining      : 359.9957920983434

=== Processing Data ===
  Allotted compute time remaining: ~5m,59s
[DataProcessor] augmentation: quantized/categorical (noise only) - shape 1x27x18, 2 unique values seen in 20000 sampled

=== Performing NAS ===
  Allotted compute time remaining: ~5m,57s
[NAS] macro: c0=32 n=2 d=2 stem_stride=1 (H=27, W=18 -> 6x4)
[NAS] scoring up to 15625 genotypes (full search space)
[NAS] scored 0 genotypes
[NAS] scored 380 genotypes, verifying top 14 (max_batches=20, batch_size=512, t_batch~0.085s, t_val~0.02s)
  [NAS] verify: val=15.50% t=0.7s
  [NAS] verify: val=15.83% t=0.6s
  [NAS] verify: val=18.50% t=0.6s
  [NAS] verify: val=15.83% t=0.6s
  [NAS] verify: val=15.83% t=0.6s
  [NAS] verify: val=17.00% t=0.6s
  [NAS] verify: val=18.50% t=0.6s
  [NAS] verify: val=15.83% t=0.6s
  [NAS] verify: val=15.50% t=0.6s
  [NAS] verify: val=15.83% t=0.5s
  [NAS] verify: val=15.83% t=0.6s
  [NAS] verify: val=15.00% t=0.5s
  [NAS] verify: val=15.50% t=0.6s
  [NAS] verify: val=15.50% t=0.6s
[NAS] selected genotype (val=18.50%): ['conv1x1', 'conv1x1', 'conv3x3', 'conv3x3', 'conv1x1', 'conv3x3']

=== Training ===
  Allotted compute time remaining: ~5m,36s
[Trainer] weight decay on 40 tensors, none on 79 (BN/bias)
  [Trainer] Epoch   1 | train=16.67% val=17.00% gap= -0.33 | loss=1.8460 | lr=0.01000 | t/ep=  0.5s t/eval= 0.1s | rem=   336s
  [Trainer] Epoch 461 | train=100.00% val=30.67% gap=+69.33 | loss=0.4218 | lr=0.00026 | t/ep=  0.5s t/eval= 0.0s | rem=    80s
  [Trainer] Epoch 462 | train=100.00% val=30.50% gap=+69.50 | loss=0.4219 | lr=0.00025 | t/ep=  0.5s t/eval= 0.0s | rem=    79s
  [Trainer] Epoch 463 | train=100.00% val=30.50% gap=+69.50 | loss=0.4219 | lr=0.00024 | t/ep=  0.5s t/eval= 0.0s | rem=    78s
  [Trainer] Epoch 464 | train=100.00% val=30.83% gap=+69.17 | loss=0.4221 | lr=0.00023 | t/ep=  0.5s t/eval= 0.0s | rem=    78s
  [Trainer] Epoch 465 | train=100.00% val=30.50% gap=+69.50 | loss=0.4218 | lr=0.00022 | t/ep=  0.5s t/eval= 0.0s | rem=    77s
  [Trainer] Epoch 466 | train=100.00% val=30.50% gap=+69.50 | loss=0.4218 | lr=0.00021 | t/ep=  0.5s t/eval= 0.0s | rem=    77s
  [Trainer] Epoch 467 | train=100.00% val=30.83% gap=+69.17 | loss=0.4219 | lr=0.00021 | t/ep=  0.6s t/eval= 0.0s | rem=    76s
  [Trainer] Epoch 468 | train=100.00% val=30.67% gap=+69.33 | loss=0.4219 | lr=0.00020 | t/ep=  0.5s t/eval= 0.0s | rem=    76s
  [Trainer] Epoch 469 | train=100.00% val=30.67% gap=+69.33 | loss=0.4220 | lr=0.00019 | t/ep=  0.5s t/eval= 0.0s | rem=    75s
  [Trainer] Epoch 470 | train=100.00% val=30.67% gap=+69.33 | loss=0.4218 | lr=0.00018 | t/ep=  0.5s t/eval= 0.0s | rem=    74s
  [Trainer] Epoch 471 | train=100.00% val=30.50% gap=+69.50 | loss=0.4219 | lr=0.00017 | t/ep=  0.5s t/eval= 0.0s | rem=    74s
  [Trainer] Epoch 472 | train=100.00% val=30.50% gap=+69.50 | loss=0.4219 | lr=0.00016 | t/ep=  0.5s t/eval= 0.0s | rem=    73s
  [Trainer] Epoch 473 | train=100.00% val=30.67% gap=+69.33 | loss=0.4218 | lr=0.00016 | t/ep=  0.5s t/eval= 0.0s | rem=    73s
  [Trainer] Epoch 474 | train=100.00% val=30.50% gap=+69.50 | loss=0.4220 | lr=0.00015 | t/ep=  0.5s t/eval= 0.0s | rem=    72s
  [Trainer] Epoch 475 | train=100.00% val=30.50% gap=+69.50 | loss=0.4218 | lr=0.00014 | t/ep=  0.5s t/eval= 0.0s | rem=    72s
  [Trainer] Epoch 476 | train=100.00% val=30.67% gap=+69.33 | loss=0.4218 | lr=0.00013 | t/ep=  0.5s t/eval= 0.0s | rem=    71s
  [Trainer] Epoch 477 | train=100.00% val=30.67% gap=+69.33 | loss=0.4219 | lr=0.00013 | t/ep=  0.5s t/eval= 0.0s | rem=    71s
  [Trainer] Epoch 478 | train=100.00% val=30.83% gap=+69.17 | loss=0.4220 | lr=0.00012 | t/ep=  0.5s t/eval= 0.0s | rem=    70s
  [Trainer] Epoch 479 | train=100.00% val=30.67% gap=+69.33 | loss=0.4218 | lr=0.00011 | t/ep=  0.5s t/eval= 0.0s | rem=    69s
  [Trainer] Epoch 480 | train=100.00% val=30.67% gap=+69.33 | loss=0.4220 | lr=0.00011 | t/ep=  0.5s t/eval= 0.0s | rem=    69s
  [Trainer] Epoch 481 | train=100.00% val=30.67% gap=+69.33 | loss=0.4218 | lr=0.00010 | t/ep=  0.5s t/eval= 0.0s | rem=    68s
  [Trainer] Epoch 482 | train=100.00% val=30.67% gap=+69.33 | loss=0.4219 | lr=0.00009 | t/ep=  0.5s t/eval= 0.0s | rem=    68s
  [Trainer] Epoch 483 | train=100.00% val=30.50% gap=+69.50 | loss=0.4220 | lr=0.00009 | t/ep=  0.5s t/eval= 0.0s | rem=    67s
  [Trainer] Epoch 484 | train=100.00% val=30.67% gap=+69.33 | loss=0.4219 | lr=0.00008 | t/ep=  0.5s t/eval= 0.0s | rem=    67s
  [Trainer] Epoch 485 | train=100.00% val=30.83% gap=+69.17 | loss=0.4220 | lr=0.00008 | t/ep=  0.5s t/eval= 0.0s | rem=    66s
  [Trainer] Epoch 486 | train=100.00% val=30.83% gap=+69.17 | loss=0.4219 | lr=0.00007 | t/ep=  0.5s t/eval= 0.0s | rem=    66s
  [Trainer] Epoch 487 | train=100.00% val=30.83% gap=+69.17 | loss=0.4218 | lr=0.00007 | t/ep=  0.5s t/eval= 0.0s | rem=    65s
  [Trainer] Epoch 488 | train=100.00% val=30.50% gap=+69.50 | loss=0.4221 | lr=0.00006 | t/ep=  0.5s t/eval= 0.0s | rem=    64s
  [Trainer] Epoch 489 | train=100.00% val=30.67% gap=+69.33 | loss=0.4221 | lr=0.00006 | t/ep=  0.5s t/eval= 0.0s | rem=    64s
  [Trainer] Epoch 490 | train=100.00% val=30.50% gap=+69.50 | loss=0.4221 | lr=0.00005 | t/ep=  0.5s t/eval= 0.0s | rem=    63s
  [Trainer] Epoch 491 | train=100.00% val=30.67% gap=+69.33 | loss=0.4218 | lr=0.00005 | t/ep=  0.5s t/eval= 0.0s | rem=    63s
  [Trainer] Epoch 492 | train=100.00% val=30.50% gap=+69.50 | loss=0.4219 | lr=0.00004 | t/ep=  0.5s t/eval= 0.0s | rem=    62s
  [Trainer] Epoch 493 | train=100.00% val=30.67% gap=+69.33 | loss=0.4220 | lr=0.00004 | t/ep=  0.5s t/eval= 0.0s | rem=    62s
  [Trainer] Epoch 494 | train=100.00% val=30.50% gap=+69.50 | loss=0.4218 | lr=0.00004 | t/ep=  0.5s t/eval= 0.0s | rem=    61s
  [Trainer] Epoch 495 | train=100.00% val=30.67% gap=+69.33 | loss=0.4220 | lr=0.00003 | t/ep=  0.5s t/eval= 0.0s | rem=    61s
  [Trainer] Epoch 496 | train=100.00% val=30.50% gap=+69.50 | loss=0.4220 | lr=0.00003 | t/ep=  0.5s t/eval= 0.0s | rem=    60s
  [Trainer] Epoch 497 | train=100.00% val=30.50% gap=+69.50 | loss=0.4222 | lr=0.00003 | t/ep=  0.5s t/eval= 0.0s | rem=    59s
  [Trainer] Epoch 498 | train=100.00% val=30.50% gap=+69.50 | loss=0.4219 | lr=0.00002 | t/ep=  0.5s t/eval= 0.0s | rem=    59s
  [Trainer] Epoch 499 | train=100.00% val=30.50% gap=+69.50 | loss=0.4218 | lr=0.00002 | t/ep=  0.5s t/eval= 0.0s | rem=    58s
  [Trainer] Epoch 500 | train=100.00% val=30.50% gap=+69.50 | loss=0.4218 | lr=0.00002 | t/ep=  0.5s t/eval= 0.0s | rem=    58s
  [Trainer] Epoch 501 | train=100.00% val=30.67% gap=+69.33 | loss=0.4219 | lr=0.00002 | t/ep=  0.5s t/eval= 0.0s | rem=    57s
  [Trainer] Epoch 502 | train=100.00% val=30.67% gap=+69.33 | loss=0.4218 | lr=0.00001 | t/ep=  0.5s t/eval= 0.0s | rem=    57s
  [Trainer] Epoch 503 | train=100.00% val=30.50% gap=+69.50 | loss=0.4221 | lr=0.00001 | t/ep=  0.5s t/eval= 0.0s | rem=    56s
  [Trainer] Epoch 504 | train=100.00% val=30.67% gap=+69.33 | loss=0.4218 | lr=0.00001 | t/ep=  0.5s t/eval= 0.0s | rem=    56s
  [Trainer] Epoch 505 | train=100.00% val=30.50% gap=+69.50 | loss=0.4219 | lr=0.00001 | t/ep=  0.5s t/eval= 0.0s | rem=    55s
  [Trainer] Epoch 506 | train=100.00% val=30.50% gap=+69.50 | loss=0.4219 | lr=0.00001 | t/ep=  0.5s t/eval= 0.0s | rem=    54s
  [Trainer] Epoch 507 | train=100.00% val=30.50% gap=+69.50 | loss=0.4220 | lr=0.00000 | t/ep=  0.5s t/eval= 0.0s | rem=    54s
  [Trainer] Epoch 508 | train=100.00% val=30.67% gap=+69.33 | loss=0.4219 | lr=0.00000 | t/ep=  0.5s t/eval= 0.0s | rem=    53s
  [Trainer] Epoch 509 | train=100.00% val=30.50% gap=+69.50 | loss=0.4220 | lr=0.00000 | t/ep=  0.5s t/eval= 0.0s | rem=    53s
  [Trainer] Epoch 510 | train=100.00% val=30.67% gap=+69.33 | loss=0.4223 | lr=0.00000 | t/ep=  0.5s t/eval= 0.0s | rem=    52s
  [Trainer] Epoch 511 | train=100.00% val=30.67% gap=+69.33 | loss=0.4221 | lr=0.00000 | t/ep=  0.5s t/eval= 0.0s | rem=    52s
  [Trainer] Epoch 512 | train=100.00% val=30.67% gap=+69.33 | loss=0.4221 | lr=0.00000 | t/ep=  0.5s t/eval= 0.0s | rem=    51s
  [Trainer] validation time budget (0s) reached, scoring on 600/600 valid samples
  [Trainer] Epoch 513 | train=100.00% val=30.67% gap=+69.33 | loss=0.4220 | lr=0.00000 | t/ep=  0.5s t/eval= 0.0s | rem=    51s
[Trainer] summary: 513 epochs, best val 32.33% at epoch 154 (30% in), final train 100.00%
[Trainer]   -> MEMORISING - train 100.0% vs val 32.3%, gap +67.7pts (needs regularisation, not capacity/time)

=== Predicting ===
  Allotted compute time remaining: ~50.52s
Run time for Ganges: 309.5121680088341
Model Training and Prediction Complete
finished dataset: Ganges
========== Dataset   Congo    =============================================
  Metadata:
   - num_classes         : 10
   - input_shape         : [5000, 3, 32, 32]
   - codename            : Congo
   - benchmark           : 57.5
   - time_limit          : 0.1
   - time_remaining      : 359.9776034168899

=== Processing Data ===
  Allotted compute time remaining: ~5m,59s
[DataProcessor] augmentation: continuous (pad+crop+flip+noise) - shape 3x32x32, 256 unique values seen in 20000 sampled

=== Performing NAS ===
  Allotted compute time remaining: ~5m,59s
[NAS] macro: c0=32 n=2 d=3 stem_stride=1 (H=32, W=32 -> 4x4)
[NAS] scoring up to 15625 genotypes (full search space)
[NAS] scored 0 genotypes
[NAS] scored 263 genotypes, verifying top 9 (max_batches=21, batch_size=512, t_batch~0.123s, t_val~0.11s)
  [NAS] verify: val=9.70% t=1.4s
  [NAS] verify: val=10.10% t=1.6s
  [NAS] verify: val=18.10% t=1.3s
  [NAS] verify: val=8.20% t=1.3s
  [NAS] verify: val=9.70% t=1.6s
  [NAS] verify: val=10.10% t=1.5s
  [NAS] verify: val=9.70% t=1.3s
  [NAS] verify: val=12.60% t=1.6s
  [NAS] verify: val=9.10% t=1.5s
[NAS] selected genotype (val=18.10%): ['conv3x3', 'conv1x1', 'conv1x1', 'skip', 'skip', 'conv3x3']

=== Training ===
  Allotted compute time remaining: ~5m,34s
[Trainer] weight decay on 37 tensors, none on 73 (BN/bias)
  [Trainer] Epoch   1 | train=21.92% val=11.40% gap=+10.52 | loss=2.1569 | lr=0.01000 | t/ep=  1.2s t/eval= 0.1s | rem=   334s
  [Trainer] Epoch   2 | train=31.18% val=13.40% gap=+17.78 | loss=1.9479 | lr=0.01000 | t/ep=  1.2s t/eval= 0.1s | rem=   332s
  [Trainer] Epoch   3 | train=37.70% val=26.80% gap=+10.90 | loss=1.8232 | lr=0.01000 | t/ep=  1.2s t/eval= 0.1s | rem=   331s
  [Trainer] Epoch   4 | train=41.06% val=41.20% gap= -0.14 | loss=1.7554 | lr=0.01000 | t/ep=  1.3s t/eval= 0.1s | rem=   330s
  [Trainer] Epoch   5 | train=45.42% val=37.60% gap= +7.82 | loss=1.6914 | lr=0.00999 | t/ep=  1.2s t/eval= 0.1s | rem=   328s
  [Trainer] Epoch   6 | train=46.74% val=36.90% gap= +9.84 | loss=1.6468 | lr=0.00999 | t/ep=  1.2s t/eval= 0.1s | rem=   327s
  [Trainer] Epoch   7 | train=48.50% val=42.20% gap= +6.30 | loss=1.6178 | lr=0.00998 | t/ep=  1.2s t/eval= 0.1s | rem=   326s
  [Trainer] Epoch   8 | train=50.22% val=45.00% gap= +5.22 | loss=1.5771 | lr=0.00997 | t/ep=  1.2s t/eval= 0.1s | rem=   324s
  [Trainer] Epoch   9 | train=52.02% val=45.70% gap= +6.32 | loss=1.5308 | lr=0.00997 | t/ep=  1.2s t/eval= 0.1s | rem=   323s
  [Trainer] Epoch  10 | train=53.82% val=48.20% gap= +5.62 | loss=1.5102 | lr=0.00996 | t/ep=  1.2s t/eval= 0.1s | rem=   322s
  [Trainer] Epoch  11 | train=55.82% val=48.20% gap= +7.62 | loss=1.4603 | lr=0.00995 | t/ep=  1.2s t/eval= 0.1s | rem=   321s
  [Trainer] Epoch  12 | train=57.79% val=49.30% gap= +8.49 | loss=1.4345 | lr=0.00994 | t/ep=  1.3s t/eval= 0.1s | rem=   319s
  [Trainer] Epoch  13 | train=57.27% val=46.90% gap=+10.37 | loss=1.4168 | lr=0.00993 | t/ep=  1.2s t/eval= 0.1s | rem=   318s
  [Trainer] Epoch  14 | train=59.96% val=52.60% gap= +7.36 | loss=1.3797 | lr=0.00991 | t/ep=  1.2s t/eval= 0.1s | rem=   317s
  [Trainer] Epoch  15 | train=60.59% val=51.70% gap= +8.89 | loss=1.3761 | lr=0.00990 | t/ep=  1.2s t/eval= 0.1s | rem=   315s
  [Trainer] Epoch  16 | train=62.50% val=53.20% gap= +9.30 | loss=1.3297 | lr=0.00989 | t/ep=  1.2s t/eval= 0.1s | rem=   314s
  [Trainer] Epoch  17 | train=62.98% val=53.30% gap= +9.68 | loss=1.3192 | lr=0.00987 | t/ep=  1.2s t/eval= 0.1s | rem=   313s
  [Trainer] Epoch  18 | train=64.28% val=56.60% gap= +7.68 | loss=1.2908 | lr=0.00985 | t/ep=  1.2s t/eval= 0.1s | rem=   312s
  [Trainer] Epoch  19 | train=64.84% val=55.70% gap= +9.14 | loss=1.2828 | lr=0.00984 | t/ep=  1.2s t/eval= 0.1s | rem=   310s
  [Trainer] Epoch  20 | train=66.38% val=56.20% gap=+10.18 | loss=1.2670 | lr=0.00982 | t/ep=  1.2s t/eval= 0.1s | rem=   309s
  [Trainer] Epoch  21 | train=65.82% val=53.20% gap=+12.62 | loss=1.2558 | lr=0.00980 | t/ep=  1.2s t/eval= 0.1s | rem=   308s
  [Trainer] Epoch  22 | train=66.75% val=53.10% gap=+13.65 | loss=1.2320 | lr=0.00978 | t/ep=  1.2s t/eval= 0.1s | rem=   306s
  [Trainer] Epoch  23 | train=69.86% val=58.80% gap=+11.06 | loss=1.1977 | lr=0.00976 | t/ep=  1.2s t/eval= 0.1s | rem=   305s
  [Trainer] Epoch  24 | train=70.07% val=58.40% gap=+11.67 | loss=1.1853 | lr=0.00973 | t/ep=  1.2s t/eval= 0.1s | rem=   304s
  [Trainer] Epoch  25 | train=70.07% val=58.60% gap=+11.47 | loss=1.1871 | lr=0.00971 | t/ep=  1.2s t/eval= 0.1s | rem=   303s
  [Trainer] Epoch  26 | train=72.24% val=60.90% gap=+11.34 | loss=1.1468 | lr=0.00969 | t/ep=  1.2s t/eval= 0.1s | rem=   301s
  [Trainer] Epoch  27 | train=72.66% val=59.00% gap=+13.66 | loss=1.1337 | lr=0.00966 | t/ep=  1.2s t/eval= 0.1s | rem=   300s
  [Trainer] Epoch  28 | train=73.63% val=61.10% gap=+12.53 | loss=1.1229 | lr=0.00964 | t/ep=  1.2s t/eval= 0.1s | rem=   299s
  [Trainer] Epoch  29 | train=73.68% val=59.80% gap=+13.88 | loss=1.0981 | lr=0.00961 | t/ep=  1.2s t/eval= 0.1s | rem=   298s
  [Trainer] Epoch  30 | train=75.17% val=58.20% gap=+16.97 | loss=1.0854 | lr=0.00958 | t/ep=  1.2s t/eval= 0.1s | rem=   296s
  [Trainer] Epoch  31 | train=75.17% val=60.90% gap=+14.27 | loss=1.0767 | lr=0.00955 | t/ep=  1.2s t/eval= 0.1s | rem=   295s
  [Trainer] Epoch  32 | train=76.95% val=58.80% gap=+18.15 | loss=1.0519 | lr=0.00953 | t/ep=  1.2s t/eval= 0.1s | rem=   294s
  [Trainer] Epoch  33 | train=77.50% val=63.00% gap=+14.50 | loss=1.0359 | lr=0.00950 | t/ep=  1.2s t/eval= 0.1s | rem=   293s
  [Trainer] Epoch  34 | train=78.21% val=61.70% gap=+16.51 | loss=1.0222 | lr=0.00946 | t/ep=  1.2s t/eval= 0.1s | rem=   291s
  [Trainer] Epoch  35 | train=78.93% val=64.30% gap=+14.63 | loss=1.0092 | lr=0.00943 | t/ep=  1.2s t/eval= 0.1s | rem=   290s
  [Trainer] Epoch  36 | train=79.69% val=62.80% gap=+16.89 | loss=0.9987 | lr=0.00940 | t/ep=  1.2s t/eval= 0.1s | rem=   289s
  [Trainer] Epoch  37 | train=80.01% val=61.70% gap=+18.31 | loss=0.9850 | lr=0.00937 | t/ep=  1.2s t/eval= 0.1s | rem=   287s
  [Trainer] Epoch  38 | train=81.60% val=59.20% gap=+22.40 | loss=0.9714 | lr=0.00933 | t/ep=  1.2s t/eval= 0.1s | rem=   286s
  [Trainer] Epoch  39 | train=81.16% val=62.30% gap=+18.86 | loss=0.9635 | lr=0.00930 | t/ep=  1.3s t/eval= 0.1s | rem=   285s
  [Trainer] Epoch  40 | train=81.81% val=59.90% gap=+21.91 | loss=0.9537 | lr=0.00926 | t/ep=  1.2s t/eval= 0.1s | rem=   284s
  [Trainer] Epoch  41 | train=82.62% val=59.50% gap=+23.12 | loss=0.9396 | lr=0.00922 | t/ep=  1.2s t/eval= 0.1s | rem=   282s
  [Trainer] Epoch  42 | train=81.79% val=63.10% gap=+18.69 | loss=0.9574 | lr=0.00918 | t/ep=  1.2s t/eval= 0.1s | rem=   281s
  [Trainer] Epoch  43 | train=83.70% val=59.70% gap=+24.00 | loss=0.9279 | lr=0.00914 | t/ep=  1.2s t/eval= 0.1s | rem=   280s
  [Trainer] Epoch  44 | train=83.51% val=63.00% gap=+20.51 | loss=0.9115 | lr=0.00910 | t/ep=  1.2s t/eval= 0.1s | rem=   279s
  [Trainer] Epoch  45 | train=84.61% val=66.00% gap=+18.61 | loss=0.8983 | lr=0.00906 | t/ep=  1.2s t/eval= 0.1s | rem=   277s
  [Trainer] Epoch  46 | train=85.20% val=60.20% gap=+25.00 | loss=0.8835 | lr=0.00902 | t/ep=  1.2s t/eval= 0.1s | rem=   276s
  [Trainer] Epoch  47 | train=86.35% val=63.00% gap=+23.35 | loss=0.8733 | lr=0.00898 | t/ep=  1.2s t/eval= 0.1s | rem=   275s
  [Trainer] Epoch  48 | train=86.61% val=64.10% gap=+22.51 | loss=0.8549 | lr=0.00894 | t/ep=  1.2s t/eval= 0.1s | rem=   273s
  [Trainer] Epoch  49 | train=87.00% val=62.10% gap=+24.90 | loss=0.8518 | lr=0.00889 | t/ep=  1.2s t/eval= 0.1s | rem=   272s
  [Trainer] Epoch  50 | train=87.13% val=61.40% gap=+25.73 | loss=0.8422 | lr=0.00885 | t/ep=  1.2s t/eval= 0.1s | rem=   271s
  [Trainer] Epoch  51 | train=87.96% val=61.60% gap=+26.36 | loss=0.8335 | lr=0.00880 | t/ep=  1.2s t/eval= 0.1s | rem=   270s
  [Trainer] Epoch  52 | train=87.46% val=62.40% gap=+25.06 | loss=0.8353 | lr=0.00876 | t/ep=  1.2s t/eval= 0.1s | rem=   268s
  [Trainer] Epoch  53 | train=88.13% val=63.50% gap=+24.63 | loss=0.8260 | lr=0.00871 | t/ep=  1.2s t/eval= 0.1s | rem=   267s
  [Trainer] Epoch  54 | train=88.59% val=62.40% gap=+26.19 | loss=0.8175 | lr=0.00866 | t/ep=  1.2s t/eval= 0.1s | rem=   266s
  [Trainer] Epoch  55 | train=89.13% val=64.20% gap=+24.93 | loss=0.8108 | lr=0.00862 | t/ep=  1.2s t/eval= 0.1s | rem=   265s
  [Trainer] Epoch  56 | train=90.62% val=64.90% gap=+25.72 | loss=0.7819 | lr=0.00857 | t/ep=  1.2s t/eval= 0.1s | rem=   263s
  [Trainer] Epoch  57 | train=91.38% val=62.80% gap=+28.58 | loss=0.7748 | lr=0.00852 | t/ep=  1.2s t/eval= 0.1s | rem=   262s
  [Trainer] Epoch  58 | train=91.80% val=64.50% gap=+27.30 | loss=0.7625 | lr=0.00847 | t/ep=  1.2s t/eval= 0.1s | rem=   261s
  [Trainer] Epoch  59 | train=91.43% val=66.10% gap=+25.33 | loss=0.7653 | lr=0.00842 | t/ep=  1.2s t/eval= 0.1s | rem=   260s
  [Trainer] Epoch  60 | train=92.19% val=63.70% gap=+28.49 | loss=0.7522 | lr=0.00837 | t/ep=  1.2s t/eval= 0.1s | rem=   258s
  [Trainer] Epoch  61 | train=92.95% val=63.50% gap=+29.45 | loss=0.7360 | lr=0.00831 | t/ep=  1.2s t/eval= 0.1s | rem=   257s
  [Trainer] Epoch  62 | train=92.34% val=64.90% gap=+27.44 | loss=0.7398 | lr=0.00826 | t/ep=  1.2s t/eval= 0.1s | rem=   256s
  [Trainer] Epoch  63 | train=94.08% val=62.40% gap=+31.68 | loss=0.7237 | lr=0.00821 | t/ep=  1.2s t/eval= 0.1s | rem=   254s
  [Trainer] Epoch  64 | train=93.53% val=65.00% gap=+28.53 | loss=0.7169 | lr=0.00815 | t/ep=  1.3s t/eval= 0.1s | rem=   253s
  [Trainer] Epoch  65 | train=94.31% val=62.60% gap=+31.71 | loss=0.7117 | lr=0.00810 | t/ep=  1.2s t/eval= 0.1s | rem=   252s
  [Trainer] Epoch  66 | train=94.03% val=62.00% gap=+32.03 | loss=0.7183 | lr=0.00804 | t/ep=  1.2s t/eval= 0.1s | rem=   251s
  [Trainer] Epoch  67 | train=94.47% val=64.60% gap=+29.87 | loss=0.7005 | lr=0.00798 | t/ep=  1.2s t/eval= 0.1s | rem=   249s
  [Trainer] Epoch  68 | train=94.90% val=65.30% gap=+29.60 | loss=0.6999 | lr=0.00793 | t/ep=  1.2s t/eval= 0.1s | rem=   248s
  [Trainer] Epoch  69 | train=94.86% val=64.70% gap=+30.16 | loss=0.7020 | lr=0.00787 | t/ep=  1.2s t/eval= 0.1s | rem=   247s
  [Trainer] Epoch  70 | train=95.03% val=64.40% gap=+30.63 | loss=0.6980 | lr=0.00781 | t/ep=  1.2s t/eval= 0.1s | rem=   245s
  [Trainer] Epoch  71 | train=95.81% val=64.40% gap=+31.41 | loss=0.6760 | lr=0.00776 | t/ep=  1.2s t/eval= 0.1s | rem=   244s
  [Trainer] Epoch  72 | train=96.42% val=61.40% gap=+35.02 | loss=0.6743 | lr=0.00770 | t/ep=  1.2s t/eval= 0.1s | rem=   243s
  [Trainer] Epoch  73 | train=96.72% val=65.60% gap=+31.12 | loss=0.6655 | lr=0.00764 | t/ep=  1.2s t/eval= 0.1s | rem=   242s
  [Trainer] Epoch  74 | train=96.77% val=66.10% gap=+30.67 | loss=0.6624 | lr=0.00758 | t/ep=  1.2s t/eval= 0.1s | rem=   240s
  [Trainer] Epoch  75 | train=96.72% val=66.20% gap=+30.52 | loss=0.6626 | lr=0.00752 | t/ep=  1.2s t/eval= 0.1s | rem=   239s
  [Trainer] Epoch  76 | train=96.77% val=65.70% gap=+31.07 | loss=0.6593 | lr=0.00745 | t/ep=  1.2s t/eval= 0.1s | rem=   238s
  [Trainer] Epoch  77 | train=97.01% val=63.80% gap=+33.21 | loss=0.6527 | lr=0.00739 | t/ep=  1.2s t/eval= 0.1s | rem=   236s
  [Trainer] Epoch  78 | train=97.20% val=66.10% gap=+31.10 | loss=0.6504 | lr=0.00733 | t/ep=  1.2s t/eval= 0.1s | rem=   235s
  [Trainer] Epoch  79 | train=96.70% val=65.50% gap=+31.20 | loss=0.6451 | lr=0.00727 | t/ep=  1.2s t/eval= 0.1s | rem=   234s
  [Trainer] Epoch  80 | train=97.63% val=64.00% gap=+33.63 | loss=0.6342 | lr=0.00720 | t/ep=  1.2s t/eval= 0.1s | rem=   233s
  [Trainer] Epoch  81 | train=97.27% val=65.60% gap=+31.67 | loss=0.6362 | lr=0.00714 | t/ep=  1.2s t/eval= 0.1s | rem=   231s
  [Trainer] Epoch  82 | train=97.57% val=65.30% gap=+32.27 | loss=0.6354 | lr=0.00707 | t/ep=  1.2s t/eval= 0.1s | rem=   230s
  [Trainer] Epoch  83 | train=98.09% val=64.60% gap=+33.49 | loss=0.6260 | lr=0.00701 | t/ep=  1.2s t/eval= 0.1s | rem=   229s
  [Trainer] Epoch  84 | train=98.42% val=66.00% gap=+32.42 | loss=0.6185 | lr=0.00695 | t/ep=  1.2s t/eval= 0.1s | rem=   227s
  [Trainer] Epoch  85 | train=98.37% val=63.50% gap=+34.87 | loss=0.6211 | lr=0.00688 | t/ep=  1.2s t/eval= 0.1s | rem=   226s
  [Trainer] Epoch  86 | train=98.61% val=65.40% gap=+33.21 | loss=0.6152 | lr=0.00681 | t/ep=  1.2s t/eval= 0.1s | rem=   225s
  [Trainer] Epoch  87 | train=98.74% val=64.20% gap=+34.54 | loss=0.6131 | lr=0.00675 | t/ep=  1.3s t/eval= 0.1s | rem=   224s
  [Trainer] Epoch  88 | train=98.50% val=65.70% gap=+32.80 | loss=0.6122 | lr=0.00667 | t/ep=  1.2s t/eval= 0.1s | rem=   222s
  [Trainer] Epoch  89 | train=98.50% val=65.10% gap=+33.40 | loss=0.6120 | lr=0.00661 | t/ep=  1.2s t/eval= 0.1s | rem=   221s
  [Trainer] Epoch  90 | train=98.78% val=64.20% gap=+34.58 | loss=0.6079 | lr=0.00654 | t/ep=  1.2s t/eval= 0.1s | rem=   220s
  [Trainer] Epoch  91 | train=99.02% val=66.10% gap=+32.92 | loss=0.6072 | lr=0.00647 | t/ep=  1.2s t/eval= 0.1s | rem=   218s
  [Trainer] Epoch  92 | train=99.18% val=67.50% gap=+31.68 | loss=0.6000 | lr=0.00640 | t/ep=  1.2s t/eval= 0.1s | rem=   217s
  [Trainer] Epoch  93 | train=99.15% val=65.90% gap=+33.25 | loss=0.5963 | lr=0.00634 | t/ep=  1.2s t/eval= 0.1s | rem=   216s
  [Trainer] Epoch  94 | train=99.00% val=67.20% gap=+31.80 | loss=0.5979 | lr=0.00627 | t/ep=  1.2s t/eval= 0.1s | rem=   215s
